Timestamp,CONSENT,Time Start,Gender,State / Federal Territory,Which module are you currently enrolled in?,AI usage frequency,AI used,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
4/22/2026 12:45,"Yes, I consent to participate in this study.",12:42:00 PM,Female,Sarawak,Sains Hayat,Often,"ChatGPT, Dola",3,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,5,3,4,5
4/22/2026 12:48,"Yes, I consent to participate in this study.",12:43:00 PM,Female,Sarawak,Sains Hayat,Often,"ChatGPT,deepseek, Gemini",4,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,2,2,4,3,4,3,4,4,4,4
4/22/2026 12:49,"Yes, I consent to participate in this study.",12:46:00 PM,Male,Sarawak,Sains Hayat,Very Often,"Gemini, chatgpt",5,5,5,5,5,2,2,2,2,2,5,5,5,5,5,5,3,4,5,3,2,2,2,3,3,3,3,3,3,3
4/22/2026 12:49,"Yes, I consent to participate in this study.",12:45:00 PM,Female,Sarawak,Sains Hayat,Rarely,ChatGPT and Gemini,3,4,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,5,5,5,5,5,5,5
4/22/2026 12:51,"Yes, I consent to participate in this study.",12:44:00 PM,Male,Sarawak,Sains Fizikal,Often,"Chat Gpt, Gemini",4,4,4,4,4,3,2,4,4,4,4,5,4,3,2,3,2,2,4,4,2,2,2,5,5,5,2,5,5,5
4/22/2026 12:52,"Yes, I consent to participate in this study.",12:48:00 PM,Male,Sarawak,Sains Hayat,Sometimes,Gemini,4,4,4,4,4,2,3,3,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4/22/2026 12:52,"Yes, I consent to participate in this study.",12:49:00 PM,Male,Sarawak,Sains Fizikal,Very Often,Gemini,5,5,5,3,5,1,1,1,1,3,4,5,4,4,4,4,4,4,4,4,2,2,2,5,5,5,4,4,4,4
4/22/2026 12:54,"Yes, I consent to participate in this study.",12:48:00 PM,Female,Sarawak,Sains Hayat,Often,Gemini,4,3,3,3,4,4,3,3,3,3,4,4,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4,3
4/22/2026 12:54,"Yes, I consent to participate in this study.",12:50:00 PM,Male,Sarawak,Sains Hayat,Often,ChatGPT and Gemini,5,5,5,5,5,5,3,3,3,3,5,5,5,4,5,5,5,4,4,4,2,2,2,4,4,4,4,5,4,4
4/22/2026 12:55,"Yes, I consent to participate in this study.",12:51:00 PM,Male,Sarawak,Sains Hayat,Often,"Chatgpt, Gemini, Gauth",3,4,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4
